phone_brand,device_model,price_eur,screen_size,ram_gb,release_month,release_year,camera
xiaomi,redmi,100.0,4.7,1.0,7.0,2013.0,8.0
xiaomi,redmi 2,130.0,4.7,2.0,1.0,2015.0,8.0
samsung,Galaxy S4,320.0,5.0,2.0,4.0,2013.0,13.0
SUGAR,fashion phones,,,,,,
samsung,Galaxy Note 2,300.0,5.5,2.0,9.0,2012.0,8.0
huawei,Mate,,,,,,
xiaomi,MI 2S,250.0,4.3,2.0,4.0,2013.0,13.0
huawei,G610S,150.0,5.0,1.0,10.0,2013.0,5.0
xiaomi,MI One Plus,,,,,,
vivo,S7I,,,,,,
samsung,Galaxy S3,190.0,4.8,1.0,6.0,2012.0,8.0
xiaomi,MI 2A,350.0,4.5,1.0,1.0,2013.0,8.0
xiaomi,MI 3h,,,,,,
huawei,G520-0000,,,,,,
vivo,X5Pro,330.0,5.2,2.0,6.0,2015.0,13.0
meizu,MX2,310.0,4.4,2.0,11.0,2012.0,8.0
vivo,Xplay,330.0,5.7,2.0,5.0,2013.0,13.0
coolpad,7270,,,,,,
Ktouch,Touch 3,,,,,,
OPPO,R2017,,,,,,
zte,795+,,,,,,
coolpad,okami Note,,,,,,
vivo,Y3T,,,,,,
samsung,S7566,,,,,,
gionee,GN708W,,,,,,
lenovo,lemon K3 Note,,,,,,
xiaomi,MI 1S,190.0,4.0,1.0,8.0,2012.0,8.0
lenovo,A820t,,,,,,
huawei,honor 3C,140.0,5.0,2.0,12.0,2013.0,8.0
samsung,Galaxy S2,170.0,4.3,1.0,4.0,2011.0,8.0
hisense,EG966,,,,,,
sony,Xperia SL,,,,,,
vivo,E5,,,,,,
coolpad,Great God F1,130.0,5.0,2.0,4.0,2014.0,13.0
samsung,Galaxy Mega 5.8,280.0,5.8,1.5,5.0,2013.0,8.0
LG,G2,,,,,,
vivo,X1ST,,,,,,
vivo,X3T,170.0,5.0,1.0,6.0,2013.0,8.0
coolpad,7296,,,,,,
samsung,Galaxy Note,350.0,5.3,1.0,12.0,2012.0,8.0
samsung,Galaxy Note 3,420.0,5.7,3.0,9.0,2013.0,13.0
xiaomi,MI 3,200.0,5.0,2.0,9.0,2013.0,13.0
vivo,Y19T,,,,,,
OPPO,U705T,,,,,,
xiaomi,redmi 1s,90.0,4.7,1.0,5.0,2014.0,8.0
sony,Xperia Z,,,,,,
OPPO,A11,,,,,,
OPPO,Find 5,,,,,,
huawei,honor 4X,200.0,5.5,2.0,10.0,2014.0,13.0
coolpad,5216s,,,,,,
huawei,Ascend P6,230.0,4.7,2.0,6.0,2013.0,8.0
samsung,Galaxy Grand DUOS,150.0,5.0,1.0,10.0,2014.0,8.0
huawei,honor7,350.0,5.2,3.0,7.0,2015.0,20.0
xiaomi,redmi note,120.0,5.5,2.0,3.0,2014.0,13.0
huawei,G520-5000,,,,,,
huawei,G6-C00,,,,,,
huawei,G510,,,,,,
huawei,honor 6 Plus,200.0,5.5,3.0,12.0,2014.0,8.0
gionee,V182,,,,,,
HTC,802w,,,,,,
lenovo,S960,,,,,,
HTC,T528t,,,,,,
vivo,X5M,,,,,,
samsung,Galaxy Win,170.0,4.7,1.0,5.0,2013.0,5.0
samsung,Galaxy Trend DUOS,170.0,4.0,1.0,5.0,2013.0,3.0
huawei,honorplay5,,,,,,
51cube,S3,,,,,,
huawei,G610T,150.0,5.0,1.0,8.0,2013.0,5.0
lenovo,A660,,,,,,
meizu,MX3,370.0,5.1,2.0,10.0,2013.0,8.0
lenovo,A850,150.0,5.5,1.0,8.0,2013.0,5.0
coolpad,Tiptop 2,,,,,,
coolpad,5891,,,,,,
samsung,Galaxy Grand,,,,,,
huawei,honor 6,290.0,5.0,3.0,8.0,2014.0,13.0
huawei,Ascend G700T,,,,,,
lenovo,A820,,,,,,
xiaomi,MI 2C,,,,,,
OPPO,1107,,,,,,
meizu,m2 note,200.0,5.5,2.0,6.0,2015.0,13.0
OPPO,N1 Mini,330.0,5.0,2.0,8.0,2014.0,13.0
OPPO,R833T,,,,,,
vivo,Y15,,,,,,
xiaomi,redmi note2,160.0,5.5,2.0,8.0,2015.0,13.0
vivo,X6 D,500.0,6.0,4.0,1.0,2016.0,21.0
vivo,X5Max+,430.0,5.5,2.0,3.0,2015.0,13.0
vivo,Y27,140.0,4.7,1.0,12.0,2014.0,8.0
LG,Nexus 4,,,,,,
huawei,C8813Q,,,,,,
huawei,Ascend G700,,,,,,
huawei,B199,,,,,,
konka,V987,,,,,,
huawei,Y560-CL00,,,,,,
lenovo,S890,,,,,,
gionee,GN151,,,,,,
qiku,旗舰版,,,,,,
opsson,IVO 6622,,,,,,
vivo,Y17T,310.0,4.7,1.0,5.0,2016.0,8.0
coolpad,7235,,,,,,
huawei,C8816,,,,,,
vivo,Xshot,,,,,,
coolpad,8085,,,,,,
huawei,G730-T00,,,,,,
samsung,Galaxy Premier,,,,,,
obi,V10,,,,,,
HTC,One X,,,,,,
lenovo,A830,,,,,,
sony,Xperia Z Ultra,,,,,,
OPPO,R815T,,,,,,
TCL,么么哒,,,,,,
huawei,G716,,,,,,
samsung,Galaxy S5,360.0,5.1,2.0,4.0,2014.0,16.0
coolpad,okami F2,133.0,5.5,2.0,8.0,2014.0,13.0
ipair,iPh-800,,,,,,
HTC,One,270.0,4.7,2.0,3.0,2013.0,4.0
huawei,honor 3x pro,200.0,5.5,2.0,5.0,2014.0,13.0
samsung,Galaxy Win Pro,,,,,,
huawei,MT2-C00,,,,,,
OPPO,R7,360.0,5.0,3.0,5.0,2015.0,13.0
lenovo,S920,,,,,,
OPPO,1105,,,,,,
samsung,Galaxy Mega 6.3,,,,,,
coolpad,7295+,,,,,,
huawei,G620-L75,,,,,,
HTC,Desire 610t,,,,,,
coolpad,7269,,,,,,
coolpad,8198T,,,,,,
