n_app_active_daily,1st_app_dly,2nd_app_dly,3rd_app_dly,2days_most_used,3days_most_used,7days_most_used,10days_most_used,n_app_active_daily_2days_mean,n_app_active_daily_2days_var,n_app_active_daily_2days_max,n_app_active_daily_2days_count,n_app_active_daily_7days_mean,n_app_active_daily_7days_var,n_app_active_daily_7days_max,n_app_active_daily_7days_count,n_app_active_daily_10days_mean,n_app_active_daily_10days_var,n_app_active_daily_10days_max,n_app_active_daily_10days_count,n_app_active_daily_day_mean,n_app_active_daily_day_max,n_app_active_daily_day_count,n_app_active_daily_3days_mean,n_app_active_daily_3days_var,n_app_active_daily_3days_max,n_app_active_daily_3days_count,n_app_installed_daily,n_app_installed_daily_2days_mean,n_app_installed_daily_2days_var,n_app_installed_daily_2days_max,n_app_installed_daily_2days_count,n_app_installed_daily_7days_mean,n_app_installed_daily_7days_var,n_app_installed_daily_7days_max,n_app_installed_daily_7days_count,n_app_installed_daily_10days_mean,n_app_installed_daily_10days_var,n_app_installed_daily_10days_max,n_app_installed_daily_10days_count,n_app_installed_daily_day_mean,n_app_installed_daily_day_max,n_app_installed_daily_day_count,n_app_installed_daily_3days_mean,n_app_installed_daily_3days_var,n_app_installed_daily_3days_max,n_app_installed_daily_3days_count,2days_most_used_installed,3days_most_used_installed,7days_most_used_installed,10days_most_used_installed,1st_cat_dly_installed,2nd_cat_dly_installed,3rd_cat_dly_installed,2days_most_used_active,3days_most_used_active,7days_most_used_active,10days_most_used_active,1st_cat_dly_active,2nd_cat_dly_active,3rd_cat_dly_active,phone_brand,price_eur,screen_size,ram_gb,release_month,release_year,camera,daily_distance_1day_mean,daily_distance_1day_var,daily_distance_1day_max,daily_distance_1day_count,daily_distance_2days_mean,daily_distance_2days_var,daily_distance_2days_max,daily_distance_2days_count,daily_distance_7days_mean,daily_distance_7days_var,daily_distance_7days_max,daily_distance_7days_count,daily_distance_10days_mean,daily_distance_10days_var,daily_distance_10days_max,daily_distance_10days_count,daily_distance_3days_mean,daily_distance_3days_var,daily_distance_3days_max,daily_distance_3days_count,labels
23.0,5927333115845830913,4348659952760821294,8693964245073640147,5927333115845830913,2229153468836897886,5927333115845830913,5927333115845830913,20.0,18.0,23.0,2.0,135.285714286,15911.5714286,337.0,7.0,119.375,15663.6964286,337.0,8.0,23.0,23.0,1.0,119.375,15663.6964286,337.0,8.0,45.0,28.5,544.5,45.0,2.0,36.2857142857,338.571428571,49.0,7.0,32.75,390.214285714,49.0,8.0,45.0,45.0,1.0,32.75,390.214285714,49.0,8.0,548.0,548.0,548.0,548.0,548.0,405.0,730.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,3,180.0,5.25,1.5,1.0,2014.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
8.0,8948670408023620661,2761480706282992376,6284164581582112235,8948670408023620661,8948670408023620661,8948670408023620661,8948670408023620661,22.0,392.0,36.0,2.0,31.0,588.0,77.0,6.0,31.0,588.0,77.0,6.0,8.0,8.0,1.0,31.0,588.0,77.0,6.0,17.0,17.5,0.5,18.0,2.0,17.6666666667,3.46666666667,21.0,6.0,17.6666666667,3.46666666667,21.0,6.0,17.0,17.0,1.0,17.6666666667,3.46666666667,21.0,6.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,704.0,713.0,1,100.0,5.0,1.0,9.0,2014.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
23.0,-3139917224122487612,7460082553072507347,8948670408023620661,-3139917224122487612,-3139917224122487612,-3139917224122487612,-3139917224122487612,11.5,264.5,23.0,2.0,36.5714285714,1298.28571429,93.0,7.0,36.5714285714,1298.28571429,93.0,7.0,23.0,23.0,1.0,36.5714285714,1298.28571429,93.0,7.0,28.0,14.0,392.0,28.0,2.0,21.2857142857,217.238095238,35.0,7.0,21.2857142857,217.238095238,35.0,7.0,28.0,28.0,1.0,21.2857142857,217.238095238,35.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,1,100.0,5.0,1.0,9.0,2014.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
30.0,8948670408023620661,6284164581582112235,3433289601737013244,8948670408023620661,8948670408023620661,8948670408023620661,8948670408023620661,23.5,84.5,30.0,2.0,30.4285714286,229.619047619,60.0,7.0,30.4285714286,229.619047619,60.0,7.0,30.0,30.0,1.0,30.4285714286,229.619047619,60.0,7.0,23.0,22.0,2.0,23.0,2.0,21.4285714286,2.28571428571,23.0,7.0,21.4285714286,2.28571428571,23.0,7.0,23.0,23.0,1.0,21.4285714286,2.28571428571,23.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,1,100.0,5.0,1.0,9.0,2014.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
47.0,5927333115845830913,6279509966423362439,-1751440943017478185,5927333115845830913,5927333115845830913,6279509966423362439,6279509966423362439,148.5,20604.5,250.0,2.0,147.857142857,8893.14285714,252.0,7.0,147.857142857,8893.14285714,252.0,7.0,47.0,47.0,1.0,147.857142857,8893.14285714,252.0,7.0,50.0,51.5,4.5,53.0,2.0,50.4285714286,6.61904761905,53.0,7.0,50.4285714286,6.61904761905,53.0,7.0,50.0,50.0,1.0,50.4285714286,6.61904761905,53.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,3,420.0,5.7,3.0,9.0,2013.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
14.0,-538061441862183033,8557198901083791098,3911595244118730735,-538061441862183033,-538061441862183033,-538061441862183033,-538061441862183033,14.5,0.5,15.0,2.0,12.8571428571,3.47619047619,15.0,7.0,12.8571428571,3.47619047619,15.0,7.0,14.0,14.0,1.0,12.8571428571,3.47619047619,15.0,7.0,27.0,28.0,2.0,29.0,2.0,28.2857142857,0.904761904762,29.0,7.0,28.2857142857,0.904761904762,29.0,7.0,27.0,27.0,1.0,28.2857142857,0.904761904762,29.0,7.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,206.0,206.0,206.0,206.0,206.0,302.0,303.0,0,220.0,5.5,3.0,2.0,2016.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
12.0,6971158843122745628,-5907579277587447243,8557198901083791098,7495715957403479953,7495715957403479953,7495715957403479953,7495715957403479953,24.5,312.5,37.0,2.0,39.4285714286,314.952380952,62.0,7.0,39.4285714286,314.952380952,62.0,7.0,12.0,12.0,1.0,39.4285714286,314.952380952,62.0,7.0,42.0,43.5,4.5,45.0,2.0,45.1428571429,3.47619047619,48.0,7.0,45.1428571429,3.47619047619,48.0,7.0,42.0,42.0,1.0,45.1428571429,3.47619047619,48.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,1,340.0,6.0,3.0,10.0,2014.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
182.0,-6123842999134898615,5694544884824978882,7167114343576723123,-2164614892727348989,-2164614892727348989,-2164614892727348989,-2164614892727348989,136.0,4232.0,182.0,2.0,308.142857143,25976.8095238,543.0,7.0,271.625,32934.2678571,543.0,8.0,182.0,182.0,1.0,271.625,32934.2678571,543.0,8.0,61.0,60.0,2.0,61.0,2.0,60.2857142857,1.90476190476,63.0,7.0,54.75,246.785714286,63.0,8.0,61.0,61.0,1.0,54.75,246.785714286,63.0,8.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,3,360.0,5.1,2.0,4.0,2014.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
2.0,-538061441862183033,-5368809411346728624,-1,-538061441862183033,-538061441862183033,-538061441862183033,-538061441862183033,7.0,50.0,12.0,2.0,7.0,23.6,12.0,6.0,7.0,23.6,12.0,6.0,2.0,2.0,1.0,7.0,23.6,12.0,6.0,77.0,76.5,0.5,77.0,2.0,77.5,0.7,78.0,6.0,77.5,0.7,78.0,6.0,77.0,77.0,1.0,77.5,0.7,78.0,6.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,186.0,548.0,549.0,0,160.0,5.5,2.0,8.0,2015.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
31.0,5927333115845830913,8693964245073640147,-8504475857937456387,5927333115845830913,5927333115845830913,-8504475857937456387,-8504475857937456387,34.0,18.0,37.0,2.0,39.5714285714,332.952380952,70.0,7.0,39.5714285714,332.952380952,70.0,7.0,31.0,31.0,1.0,39.5714285714,332.952380952,70.0,7.0,33.0,30.0,18.0,33.0,2.0,33.7142857143,79.2380952381,53.0,7.0,33.7142857143,79.2380952381,53.0,7.0,33.0,33.0,1.0,33.7142857143,79.2380952381,53.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,704.0,548.0,549.0,19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0
